Employee ID,Employee email,Join Date,Termination Date,Country,Costcenter
320562,abc@google.com,06-03-2017,04-04-2024,India,Pencil
388693,bcsasd@google.com,04-07-2024,04-08-2022,USA,Pencil
324335,asdaslkd@google.com,01-02-2017,03-06-2022,India,Auto
380136,asdlasdm@micro.com,12-12-2018,11-11-2023,India,Pencil
368659,aslklda@hcl.com,22-05-2019,01-02-2024,USA,Auto
342826,okdfs@infosys.com,24-05-2018,01-02-2024,India,Auto
342796,lkdjkgs@wipro.com,12-04-2016,04-05-2023,India,Bag
320861,lkjgkfd@tcs.com,12-05-2015,09-08-2022,Denmark,Pencil
326181,lkldjgd@infosys.com,04-02-2014,01-05-2021,Denmark,Bag
326442,ohdha@tcs.com,04-05-2020,02-03-2022,USA,Auto
345182,uufa@hcl.com,03-06-2021,03-05-2023,Japan,Bag
317660,erhka@tcs.com,03-09-2019,01-02-2021,Denmark,Pencil
373349,lkewa@hcl.com,05-08-2023,04-02-2024,Japan,Mobile
356836,eerjsa@infosys.com,04-09-2020,01-09-2023,USA,Bag
383927,iirekk@tcs.com,04-02-2016,05-06-2020,Denmark,Auto
333218,ooeaf@hcl.com,08-12-2020,06-08-2023,Japan,Remote
372024,rrsdfj@tcs.com,05-01-2017,03-08-2022,USA,Pencil
385765,pemas@hcl.com,12-12-2016,09-07-2020,Denmark,Bag
309927,oeaskd@infosys.com,22-05-2019,05-05-2024,Japan,Auto
