Employee_ID,Employee_email,leave_type,leave_data,leave_day,manager,country,Month
3023458,priyanka@google.com,Annual Leave,12-01-2024,Friday,amit@google.com,India,Jan
3026251,amrita@google.com,Sick Leave,05-02-2024,Monday,amit@google.com,India,Feb
3026251,amrita@google.com,Annual Leave,19-02-2024,Monday,amit@google.com,India,Feb
3801369,arun@google.com,Sick Leave,15-01-2024,Monday,shiv@google.com,USA,Jan
3023458,priyanka@google.com,Well Being,11-03-2024,Monday,amit@google.com,India,Mar
3801369,arun@google.com,Family Care,25-03-2024,Monday,shiv@google.com,USA,Mar
3026251,amrita@google.com,Annual Leave,22-04-2024,Monday,amit@google.com,India,Apr
3026251,amrita@google.com,Annual Leave,23-04-2024,Tuesday,amit@google.com,India,Apr
3801369,arun@google.com,Annual Leave,06-05-2024,Monday,shiv@google.com,USA,May
3023458,priyanka@google.com,Annual Leave,06-05-2024,Monday,amit@google.com,India,May
3801369,arun@google.com,Annual Leave,07-05-2024,Tuesday,shiv@google.com,USA,May
3026251,amrita@google.com,Annual Leave,07-05-2024,Tuesday,amit@google.com,India,May
3023458,priyanka@google.com,Annual Leave,07-05-2024,Tuesday,amit@google.com,India,May
3801369,arun@google.com,Sick Leave,08-05-2024,Wednesday,shiv@google.com,USA,May
3801369,arun@google.com,Family Care,09-05-2024,Thursday,shiv@google.com,USA,May
3026251,amrita@google.com,Family Care,10-06-2024,Monday,amit@google.com,India,Jun
3023458,priyanka@google.com,Well Being,26-06-2024,Wednesday,amit@google.com,India,Jun
3023458,priyanka@google.com,Well Being,27-06-2024,Thursday,amit@google.com,India,Jun
3023458,priyanka@google.com,Family Care,28-06-2024,Friday,amit@google.com,India,Jun
3023458,priyanka@google.com,Sick Leave,24-07-2024,Wednesday,amit@google.com,India,Jul
3026251,amrita@google.com,Annual Leave,24-07-2024,Wednesday,amit@google.com,India,Jul
3026251,amrita@google.com,Annual Leave,25-07-2024,Thursday,amit@google.com,India,Jul
3801369,arun@google.com,Annual Leave,08-08-2024,Thursday,shiv@google.com,USA,Aug
3023458,priyanka@google.com,Annual Leave,16-08-2024,Friday,amit@google.com,India,Aug
3801369,arun@google.com,Annual Leave,19-08-2024,Monday,shiv@google.com,USA,Aug
3026251,amrita@google.com,Annual Leave,26-08-2024,Monday,amit@google.com,India,Aug
3026251,amrita@google.com,Annual Leave,27-08-2024,Tuesday,amit@google.com,India,Aug
3801369,arun@google.com,Annual Leave,20-08-2024,Tuesday,shiv@google.com,USA,Aug
3023458,priyanka@google.com,Annual Leave,24-08-2024,Tuesday,amit@google.com,India,Aug
3801369,arun@google.com,Annual Leave,01-10-2024,Tuesday,shiv@google.com,USA,Oct
3026251,amrita@google.com,Annual Leave,08-10-2024,Tuesday,amit@google.com,India,Oct
3023458,priyanka@google.com,Sick Leave,22-10-2024,Tuesday,amit@google.com,India,Oct
3801369,arun@google.com,Family Care,22-10-2024,Tuesday,shiv@google.com,USA,Oct
3801369,arun@google.com,Family Care,28-10-2024,Monday,shiv@google.com,USA,Oct
3026251,amrita@google.com,Family Care,11-11-2024,Monday,amit@google.com,India,Nov
3023458,priyanka@google.com,Family Care,17-12-2024,Tuesday,amit@google.com,India,Dec
3023458,priyanka@google.com,Well Being,18-12-2024,Wednesday,amit@google.com,India,Dec
3023458,priyanka@google.com,Well Being,19-12-2024,Thursday,amit@google.com,India,Dec
3498201,tanya@google.com,Well Being,12-01-2024,Friday,anuj@google.com,USA,Jan
3498201,tanya@google.com,Well Being,22-04-2024,Monday,anuj@google.com,USA,Apr
3498201,tanya@google.com,Annual Leave,23-04-2024,Tuesday,anuj@google.com,USA,Apr
3498201,tanya@google.com,Annual Leave,06-05-2024,Monday,anuj@google.com,USA,May
3498201,tanya@google.com,Annual Leave,28-06-2024,Friday,anuj@google.com,USA,Jun
3498201,tanya@google.com,Annual Leave,24-07-2024,Wednesday,anuj@google.com,USA,Jul
3498201,tanya@google.com,Annual Leave,24-07-2024,Wednesday,anuj@google.com,USA,Jul
3498201,tanya@google.com,Family Care,20-08-2024,Tuesday,anuj@google.com,USA,Aug
3498201,tanya@google.com,Sick Leave,24-08-2024,Tuesday,anuj@google.com,USA,Aug
3498201,tanya@google.com,Well Being,01-10-2024,Tuesday,anuj@google.com,USA,Oct
3498201,tanya@google.com,Well Being,08-10-2024,Tuesday,anuj@google.com,USA,Oct
3498201,tanya@google.com,Sick Leave,11-11-2024,Monday,anuj@google.com,USA,Nov
