Employee_ID,Employee_email,leave_type,leave_due,leave_applied,month_remaining,leave_start,leave_end,leave_day,manager,country,Month,next_leave_start,next_leave_end
3023458,priyanka@google.com,Annual Leave,08-04-2024,n,3,12-01-2024,22-01-2024,Friday,amit@google.com,India,Jan,,
3026251,amrita@google.com,Sick Leave,22-04-2024,n,2,05-02-2024,15-02-2024,Monday,amrita@google.com,India,Feb,,
3026251,djamba@google.com,Annual Leave,05-05-2024,n,2,19-02-2024,29-02-2024,Monday,john@google.com,India,Feb,,
3801369,arun@google.com,Sick Leave,10-03-2024,y,,,,Monday,shiv@google.com,USA,Jan,15-01-2024,25-01-2024
3023458,anka@google.com,Well Being,16-04-2024,y,,,,Monday,amit@google.com,India,Mar,11-03-2024,21-03-2024
3801369,aruni@google.com,Family Care,12-05-2024,y,,,,Monday,shiv@google.com,USA,Mar,25-03-2024,04-04-2024
3026251,amruta@google.com,Annual Leave,26-06-2024,y,,,,Monday,john@google.com,India,Apr,22-04-2024,02-05-2024
3026251,amritta@google.com,Annual Leave,01-06-2024,y,,,,Tuesday,amit@google.com,India,Apr,23-04-2024,03-05-2024
3801369,aruna@google.com,Annual Leave,12-07-2024,n,2,06-05-2024,16-05-2024,Monday,shiv@google.com,USA,May,,
3023458,riyanka@google.com,Annual Leave,18-07-2024,n,2,06-05-2024,16-05-2024,Monday,amit@google.com,India,May,,
3801369,b@google.com,Annual Leave,19-06-2024,n,1,07-05-2024,17-05-2024,Tuesday,shiv@google.com,USA,May,,
3026251,cmrita@google.com,Annual Leave,16-07-2024,n,2,07-05-2024,17-05-2024,Tuesday,amrita@google.com,India,May,,
3023458,iriyanka@google.com,Annual Leave,26-07-2024,n,2,07-05-2024,17-05-2024,Tuesday,amit@google.com,India,May,,
3801369,vrun@google.com,Sick Leave,17-06-2024,y,,,,Wednesday,shiv@google.com,USA,May,08-05-2024,18-05-2024
3801369,arub@google.com,Family Care,25-06-2024,y,,,,Thursday,jax@google.com,USA,May,09-05-2024,19-05-2024
3026251,anrita@google.com,Family Care,07-09-2024,y,,,,Monday,amit@google.com,India,Jun,10-06-2024,20-06-2024
3023458,ciriyanka@google.com,Well Being,16-09-2024,y,,,,Wednesday,amit@google.com,India,Jun,26-06-2024,06-07-2024
3023458,oriyanka@google.com,Well Being,08-08-2024,y,,,,Thursday,amrita@google.com,India,Jun,27-06-2024,07-07-2024
3023458,mriyanka@google.com,Family Care,02-08-2024,y,,,,Friday,jax@google.com,India,Jun,28-06-2024,08-07-2024
3023458,nriyanka@google.com,Sick Leave,01-09-2024,n,1,24-07-2024,03-08-2024,Wednesday,amrita@google.com,India,Jul,,
3026251,hmrita@google.com,Annual Leave,13-09-2024,n,1,24-07-2024,03-08-2024,Wednesday,amit@google.com,India,Jul,,
3026251,humrita@google.com,Annual Leave,02-09-2024,n,1,25-07-2024,04-08-2024,Thursday,amrita@google.com,India,Jul,,
